date,precipitation_mm,irrigation_mm,avg_temp_c,min_temp_c,max_temp_c,et0_mm_hargreaves,lwd_hours,crop_stage,accumulated_gdd,kc_dynamic,soil_water_mm,soil_fraction_awc,deep_percolation_mm,nitrogen_stress_factor,water_stress_factor,n_demand_kg_ha,n_uptake_kg_ha,n_available_kg_ha,n_nitrate_kg_ha,triggered_rules
2025-08-16,0.0,0.0,15.534933792754288,4.667280505014526,25.882664785441047,12.88,1.0,VE,7.9,0.35,74.69,0.513,0.0,1.0,1.0,0.3,0.3,19.7,15.45,Low_Foliar_Disease_Pressure_LWD
2025-08-17,0.1227713853653818,0.0,15.024007470772679,4.39503179097319,25.493787395155078,12.58,2.0,VE,15.7,0.35,70.41,0.431,0.0,1.0,1.0,0.3,0.3,19.4,15.79,Low_Foliar_Disease_Pressure_LWD
2025-08-18,0.9684101312902439,0.0,14.839067124848754,5.126503714536618,25.252147626770952,12.16,1.0,VE,22.7,0.35,67.12,0.368,0.0,1.0,0.92,0.3,0.3,19.1,16.03,Low_Foliar_Disease_Pressure_LWD
2025-08-19,0.2096105969202044,0.0,15.077550731066372,5.223351856745533,25.613762329306876,12.26,1.0,VE,28.3,0.35,63.04,0.289,0.0,1.0,0.72,0.3,0.3,18.8,16.19,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-20,0.0,0.0,14.947534182016847,5.313581245170973,25.733916011183577,12.16,1.0,VE,32.4,0.35,58.79,0.207,0.0,1.0,0.52,0.3,0.3,18.5,16.28,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-21,0.3166431150562157,0.0,14.9986273153292,5.005127592481854,25.594604107733648,12.16,3.0,VE,35.0,0.35,54.85,0.132,0.0,1.0,0.33,0.3,0.3,18.2,16.31,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-22,0.0,0.0,14.82500525054092,4.178953954481617,24.72022560482249,12.01,1.0,VE,35.9,0.35,50.64,0.051,0.0,1.0,0.13,0.3,0.3,17.9,16.3,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-23,0.6389068422992007,0.0,14.98547791342132,5.4881031054296265,24.306622426487984,11.49,1.0,VE,35.9,0.35,48.0,0.0,0.0,1.0,0.0,0.3,0.3,17.6,16.24,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-24,0.366409875168854,0.0,15.018714478058348,4.515704025224634,25.334570367404268,12.03,0.0,VE,35.9,0.35,48.0,0.0,0.0,1.0,0.0,0.3,0.3,17.3,16.14,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-25,0.7553763390088892,0.0,15.044390446666037,4.627024294431472,25.815620846124563,12.07,1.0,VE,35.9,0.35,48.0,0.0,0.0,1.0,0.0,0.3,0.3,17.0,16.02,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-26,1.2266369765053344,0.0,14.961791561140911,5.124458495146614,24.47349877567224,11.44,4.0,VE,35.9,0.35,48.0,0.0,0.0,1.0,0.0,0.3,0.3,16.7,15.86,Drought_Stress_Risk
2025-08-27,0.4436007066599635,25.0,15.008097868037707,4.543138575436773,24.55620804512738,11.58,2.0,VE,43.2,0.35,69.39,0.411,0.0,1.0,1.0,0.3,0.3,16.4,15.69,Low_Foliar_Disease_Pressure_LWD
2025-08-28,1.1024333437032887,0.0,15.03212641964735,5.057298788732627,25.025414715412445,11.5,3.0,VE,49.9,0.35,66.47,0.355,0.0,1.0,0.89,0.3,0.3,16.1,15.5,Low_Foliar_Disease_Pressure_LWD
2025-08-29,0.0,0.0,14.983921996206014,5.212369046934564,25.51666665148973,11.51,2.0,VE,55.3,0.35,62.44,0.278,0.0,1.0,0.7,0.3,0.3,15.8,15.29,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-30,0.4461858527453535,0.0,14.901394514846904,4.531817735859649,25.29867836253732,11.53,1.0,VE,59.3,0.35,58.85,0.209,0.0,1.0,0.52,0.3,0.3,30.5,17.31,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-08-31,2.134146045915597,0.0,15.08712532486878,4.672799963969208,25.63801876970488,11.58,3.0,VE,62.6,0.35,56.93,0.172,0.0,1.0,0.43,0.3,0.3,40.7,20.57,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-09-01,0.5144034929531751,25.0,15.021805784869287,4.308481658114128,25.64224231660358,11.58,3.0,VE,70.4,0.35,78.39,0.584,0.0,1.0,1.0,0.3,0.3,47.75,24.39,Low_Foliar_Disease_Pressure_LWD
2025-09-02,0.048207553797942,0.0,15.131721544232258,5.275199457073967,25.26893334915928,11.17,2.0,VE,78.1,0.35,74.53,0.51,0.0,1.0,1.0,0.3,0.3,52.59,28.36,Low_Foliar_Disease_Pressure_LWD
2025-09-03,1.7107492024741187,0.0,15.12809870631592,4.804470350705641,25.24229927228405,11.22,3.0,VE,85.7,0.35,72.32,0.468,0.0,1.0,1.0,0.3,0.3,55.9,32.24,Low_Foliar_Disease_Pressure_LWD
2025-09-04,1.2465967611630298,0.0,14.920108106695011,5.093313458476536,24.6869295714073,10.84,2.0,VE,93.0,0.35,69.77,0.419,0.0,1.0,1.0,0.3,0.3,58.12,35.87,Low_Foliar_Disease_Pressure_LWD
2025-09-05,0.2595889497251241,0.0,15.089539844077962,4.660311393425725,25.00972627021308,11.02,1.0,VE,99.6,0.35,66.17,0.349,0.0,1.0,0.87,0.3,0.3,59.58,39.17,"Drought_Stress_Risk, Low_Foliar_Disease_Pressure_LWD"
2025-09-06,0.6478447367045098,25.0,14.837762300899035,4.080709470314018,25.487590770562505,11.14,2.0,VE,107.3,0.35,87.92,0.768,0.0,1.0,1.0,0.3,0.3,60.52,42.12,Low_Foliar_Disease_Pressure_LWD
2025-09-07,0.587592661811858,0.0,15.160307030430877,4.524555973790784,25.34666858648683,11.01,0.0,VE,115.0,0.35,84.65,0.705,0.0,1.0,1.0,0.3,0.3,61.08,44.71,Low_Foliar_Disease_Pressure_LWD
2025-09-08,0.0,0.0,14.870098262222703,4.4116014344037895,25.33904636163216,10.86,1.0,V2,122.7,0.35,80.85,0.632,0.0,1.0,1.0,0.3,0.3,61.39,46.95,Low_Foliar_Disease_Pressure_LWD
2025-09-09,0.686812743408404,0.0,15.064640345841136,4.600237741797459,25.94386594253753,10.95,4.0,V2,130.7,0.45,76.61,0.55,0.0,1.0,1.0,0.7,0.7,61.11,48.48,None
2025-09-10,2.2118257984600174,0.0,14.92993593067589,4.860894137583094,25.09903430169497,10.54,2.0,V2,138.2,0.45,74.08,0.501,0.0,1.0,1.0,0.7,0.7,60.71,49.72,Low_Foliar_Disease_Pressure_LWD
2025-09-11,0.482101755827384,25.0,15.147664148067351,5.140371104485872,25.302191505264123,10.51,1.0,V2,145.9,0.45,94.83,0.901,0.0,1.0,1.0,0.7,0.7,60.22,50.7,Low_Foliar_Disease_Pressure_LWD
2025-09-12,0.5796162080319953,0.0,14.927477117918775,4.082863914150988,25.54854040083514,10.69,0.0,V2,153.6,0.45,90.6,0.819,0.0,1.0,1.0,0.7,0.7,59.66,51.45,Low_Foliar_Disease_Pressure_LWD
2025-09-13,0.4170205246337715,0.0,14.951165769321193,4.0809452421642725,24.900676225558968,10.45,2.0,V2,161.1,0.45,86.31,0.737,0.0,1.0,1.0,0.7,0.7,59.06,52.0,Low_Foliar_Disease_Pressure_LWD
2025-09-14,1.4832835808921923,0.0,14.901697208494815,5.512299481868178,25.641817840497325,10.18,3.0,V2,168.9,0.45,83.21,0.677,0.0,1.0,1.0,0.7,0.7,58.43,52.37,Low_Foliar_Disease_Pressure_LWD
2025-09-15,1.3946158126603103,0.0,14.81795786417063,4.477923304586841,25.372232423717826,10.26,1.0,V2,176.6,0.45,79.99,0.615,0.0,1.0,1.0,0.7,0.7,57.78,52.58,Low_Foliar_Disease_Pressure_LWD
2025-09-16,0.0,25.0,15.024792887415868,4.94033627429349,25.34983107293303,10.12,1.0,V2,184.3,0.45,100.0,1.0,0.44,1.0,1.0,0.7,0.7,56.89,52.44,Low_Foliar_Disease_Pressure_LWD
2025-09-17,0.1891825307500151,0.0,14.915896377260857,4.776176198862979,25.6661271424242,10.12,1.0,V2,192.1,0.45,95.63,0.916,0.0,1.0,1.0,0.7,0.7,56.21,52.41,Low_Foliar_Disease_Pressure_LWD
2025-09-18,0.6557671886788843,0.0,14.850213949700304,4.7281209652319935,25.774959848536767,10.05,1.0,V2,200.0,0.45,91.77,0.842,0.0,1.0,1.0,0.7,0.7,55.53,52.28,Low_Foliar_Disease_Pressure_LWD
2025-09-19,0.0,0.0,14.833893456127592,4.618024295748555,25.617716434805335,9.95,2.0,V2,207.8,0.45,87.29,0.756,0.0,1.0,1.0,0.7,0.7,54.84,52.07,Low_Foliar_Disease_Pressure_LWD
2025-09-20,0.2834436850002566,0.0,14.771267395781308,4.701919527746793,25.808065276413743,9.87,3.0,V2,215.7,0.45,83.13,0.676,0.0,1.0,1.0,0.7,0.7,54.15,51.79,Low_Foliar_Disease_Pressure_LWD
2025-09-21,0.0487781011550317,30.0,14.995415054023466,5.452960249805281,24.81397147513974,9.44,4.0,V2,223.1,0.45,100.0,1.0,8.93,1.0,1.0,0.7,0.7,48.8,46.78,None
2025-09-22,0.3657716033261903,0.0,15.13644148398456,4.49976206384481,25.2717717936166,9.73,4.0,V2,230.7,0.45,95.99,0.923,0.0,1.0,1.0,0.7,0.7,48.1,46.39,None
2025-09-23,0.0347359652882823,0.0,14.953033095083372,5.345923671344078,24.46063373607599,9.2,4.0,V2,238.0,0.45,91.88,0.844,0.0,1.0,1.0,0.7,0.7,47.4,45.94,None
2025-09-24,0.0,0.0,14.86641547796632,4.720433100699687,24.74291336670636,9.31,1.0,V2,245.3,0.45,87.69,0.763,0.0,1.0,1.0,0.7,0.7,46.71,45.46,Low_Foliar_Disease_Pressure_LWD
2025-09-25,1.582523474213238,0.0,15.078802424209515,4.766898772902555,25.01194580893477,9.33,0.0,V2,252.8,0.45,85.08,0.713,0.0,1.0,1.0,0.7,0.7,46.01,44.95,Low_Foliar_Disease_Pressure_LWD
2025-09-26,0.0136003072343756,30.0,15.037767435464206,4.825503108872436,25.32385842054324,9.29,2.0,V2,260.5,0.45,100.0,1.0,10.91,1.0,1.0,0.7,0.7,40.39,39.49,Low_Foliar_Disease_Pressure_LWD
2025-09-27,1.475870993894592,0.0,15.231075354788766,4.5501683017616354,25.994391880158386,9.47,3.0,V2,268.5,0.45,97.21,0.946,0.0,1.0,1.0,0.7,0.7,39.69,38.92,Low_Foliar_Disease_Pressure_LWD
2025-09-28,0.0,0.0,14.987322237365243,5.120133914598757,25.115244540482585,8.99,0.0,V2,276.1,0.45,93.17,0.869,0.0,1.0,1.0,0.7,0.7,38.99,38.34,Low_Foliar_Disease_Pressure_LWD
2025-09-29,0.0,0.0,15.275596681479366,4.796730645365463,25.552414240709087,9.16,4.0,V2,283.8,0.45,89.05,0.789,0.0,1.0,1.0,0.7,0.7,38.29,37.74,None
2025-09-30,1.9984653542500683,0.0,15.00599986468226,4.484152498977795,24.83775695942813,8.91,2.0,V2,291.3,0.45,87.04,0.751,0.0,1.0,1.0,0.7,0.7,37.59,37.12,Low_Foliar_Disease_Pressure_LWD
2025-10-01,0.8081396945454795,30.0,15.001070415446698,5.209708369622325,25.989348866027523,8.91,1.0,V2,299.2,0.45,100.0,1.0,13.83,1.0,1.0,0.7,0.7,31.74,31.34,Low_Foliar_Disease_Pressure_LWD
2025-10-02,0.6875671121383259,0.0,14.939887747407134,4.350361114323439,24.85217284057829,8.75,2.0,V2,306.7,0.45,96.75,0.937,0.0,1.0,1.0,0.7,0.7,31.04,30.7,Low_Foliar_Disease_Pressure_LWD
2025-10-03,0.0,0.0,15.013426623863523,4.515766350199856,25.61185487645457,8.81,1.0,V2,314.5,0.45,92.79,0.861,0.0,1.0,1.0,0.7,0.7,30.35,30.06,Low_Foliar_Disease_Pressure_LWD
2025-10-04,0.44389938299141846,0.0,15.184194107106217,4.0977286416423135,25.307703125627132,8.79,2.0,V2,322.1,0.45,89.27,0.794,0.0,1.0,1.0,0.7,0.7,29.65,29.4,Low_Foliar_Disease_Pressure_LWD
2025-10-05,0.2388750692507599,0.0,15.195653213582654,4.428519046016779,25.76614545034269,8.73,2.0,V2,330.0,0.45,85.58,0.723,0.0,1.0,1.0,0.7,0.7,28.95,28.74,Low_Foliar_Disease_Pressure_LWD
2025-10-06,0.5539943874560322,30.0,14.981068995518754,4.669542631648862,25.028191462701454,8.39,2.0,V2,337.5,0.45,100.0,1.0,12.36,1.0,1.0,0.7,0.7,24.69,24.51,Low_Foliar_Disease_Pressure_LWD
